fea1,fea2,fea3,fea4,fea5,fea6,fea7,fea8,fea9,fea10,fea11,fea12,fea13,fea14,fea15,fea16,fea17,fea18,target
0.013157894736842105,0.345679012345679,0.9602272727272727,0.005405405405405406,2,31,0,18,6,4,9,17,1,1,3,2,1,34,1
0.07894736842105263,0.0,0.011363636363636364,0.6054054054054054,1,16,10,2,13,8,0,4,2,3,0,2,16,0,0
0.8223684210526315,0.037037037037037035,0.011363636363636364,0.010810810810810811,2,53,10,2,13,8,8,3,2,1,0,3,4,1,1
0.48684210526315785,0.0,0.011363636363636364,0.918918918918919,2,34,3,2,13,8,0,4,12,18,1,2,10,0,1
0.4407894736842105,0.0,0.011363636363636364,0.010810810810810811,1,30,3,2,13,8,15,9,31,14,1,2,16,4,1
0.8026315789473684,0.037037037037037035,0.4147727272727273,0.010810810810810811,1,42,12,2,13,8,11,3,2,1,1,9,0,1,1
1.0,0.037037037037037035,1.0,1.0,1,52,13,2,16,19,28,11,0,0,2,0,2,36,1
0.7171052631578947,0.0,0.9090909090909092,0.7297297297297298,0,10,12,2,13,8,3,0,25,25,1,2,14,0,1
0.013157894736842105,0.691358024691358,0.011363636363636364,0.7621621621621621,2,28,5,26,6,11,9,24,9,1,0,3,0,1,1
0.13157894736842105,0.0,0.3693181818181818,0.4648648648648649,1,6,16,2,13,8,15,9,17,4,1,2,20,0,1
0.11842105263157894,0.0,0.6590909090909091,0.32972972972972975,2,11,1,2,13,8,18,9,5,23,1,2,6,4,1
0.9473684210526315,0.0,0.5965909090909091,0.8810810810810812,2,2,1,43,13,8,3,9,5,25,1,2,20,4,1
0.6710526315789473,0.0,0.9375,0.14594594594594595,1,8,23,2,13,8,4,9,2,3,1,0,5,0,1
0.9934210526315789,0.0,0.9375,0.6972972972972973,1,9,10,43,15,15,15,9,5,18,1,2,14,4,1
0.9210526315789473,0.0,0.39204545454545453,0.0918918918918919,2,22,19,27,15,15,3,9,5,18,0,0,5,4,1
0.11184210526315788,0.0,0.7329545454545455,0.010810810810810811,1,14,13,2,13,8,15,9,17,16,1,0,5,4,0
0.7039473684210525,0.0,0.07954545454545454,0.827027027027027,1,10,19,2,13,8,1,9,5,18,1,2,10,4,1
0.8486842105263157,0.037037037037037035,0.7897727272727273,0.010810810810810811,2,17,8,2,13,8,3,9,31,1,1,10,0,1,1
0.4473684210526315,0.0,0.1590909090909091,0.010810810810810811,2,4,1,2,15,15,13,9,2,3,0,0,5,0,0
0.046052631578947366,0.0,0.011363636363636364,0.8054054054054054,2,12,19,2,13,8,18,4,5,10,1,0,5,0,1
0.625,0.0,0.02840909090909091,0.010810810810810811,2,8,16,2,13,8,15,4,5,13,1,0,5,0,1
0.9210526315789473,0.0,0.39204545454545453,0.0918918918918919,2,22,19,27,15,15,3,9,5,18,0,0,5,4,1
0.09210526315789473,0.0,0.19886363636363638,0.9243243243243244,2,7,6,2,13,8,0,9,5,18,0,0,5,0,1
0.013157894736842105,0.037037037037037035,0.7840909090909091,0.010810810810810811,2,26,0,16,6,1,2,22,28,1,1,4,0,1,1
0.09868421052631579,0.0,0.8125,0.7891891891891892,2,20,3,2,13,8,4,9,5,19,1,2,6,4,1
0.5460526315789473,0.0,0.07954545454545454,0.3891891891891892,2,5,3,2,13,8,0,9,5,18,1,0,5,0,1
0.9473684210526315,0.0,0.6875,0.9621621621621622,2,8,16,43,13,8,10,9,5,21,0,2,6,4,0
0.013157894736842105,0.9135802469135802,0.9772727272727273,0.9567567567567568,1,7,12,42,6,1,17,20,28,1,1,16,0,1,1
0.9539473684210525,0.0,0.02840909090909091,0.010810810810810811,2,9,23,40,13,8,3,9,2,7,0,0,5,0,1
0.6447368421052632,0.38271604938271603,0.011363636363636364,0.3783783783783784,2,49,10,2,13,8,7,10,18,1,1,20,4,1,1
0.013157894736842105,0.3333333333333333,0.6818181818181819,0.5567567567567568,2,4,2,41,6,16,14,11,19,0,0,3,0,1,1
0.013157894736842105,0.037037037037037035,0.8806818181818182,0.010810810810810811,1,10,1,39,6,16,9,13,20,1,1,4,0,1,1
0.625,0.0,0.02840909090909091,0.010810810810810811,2,8,16,2,13,8,15,4,5,13,1,0,5,0,1
0.013157894736842105,0.14814814814814814,0.5284090909090909,0.10810810810810811,2,4,12,31,6,11,17,13,28,1,1,13,0,1,1
0.8684210526315789,0.7160493827160493,0.03977272727272727,0.7351351351351352,2,3,12,2,10,9,8,7,2,0,0,3,4,2,1
0.6447368421052632,0.0,0.02840909090909091,0.010810810810810811,2,8,1,2,13,8,4,9,2,23,1,0,5,0,1
0.506578947368421,0.0,0.29545454545454547,0.23783783783783785,2,34,19,2,13,8,3,4,8,18,1,2,25,0,1
0.9671052631578947,0.5555555555555556,0.011363636363636364,0.6864864864864866,1,4,1,32,10,9,4,3,6,0,0,3,4,3,1
0.8618421052631579,0.037037037037037035,0.875,0.010810810810810811,1,44,10,2,13,8,10,0,6,1,1,7,0,1,1
0.5328947368421052,0.0,0.6477272727272727,0.24324324324324326,2,14,16,2,13,8,15,4,28,23,1,2,21,0,1
0.6842105263157894,0.024691358024691357,0.9375,0.010810810810810811,2,9,19,2,13,8,3,9,17,4,0,0,5,0,0
0.013157894736842105,0.037037037037037035,0.8920454545454546,1.0,2,1,3,45,6,6,17,13,0,0,2,0,1,30,0
0.09868421052631579,0.0,0.8125,0.7891891891891892,2,20,3,2,13,8,4,9,5,19,1,2,6,4,1
0.7894736842105263,0.0,0.011363636363636364,0.14054054054054055,2,20,19,2,13,8,16,6,28,14,1,2,25,4,1
0.013157894736842105,0.037037037037037035,0.9318181818181819,0.0,2,14,8,38,6,0,17,15,1,0,2,2,1,31,1
0.9210526315789473,0.0,0.39204545454545453,0.0918918918918919,2,22,19,27,15,15,3,9,5,18,0,0,5,4,1
0.8092105263157894,0.4444444444444444,0.9147727272727273,0.4594594594594595,2,17,16,2,13,8,5,9,23,1,1,22,0,1,1
0.013157894736842105,0.037037037037037035,0.011363636363636364,1.0,2,27,8,2,6,3,2,18,1,0,2,0,1,5,1
0.9210526315789473,0.0,0.39204545454545453,0.0918918918918919,2,22,19,27,15,15,3,9,5,18,0,0,5,4,1
0.1907894736842105,0.0,0.6306818181818182,0.010810810810810811,1,11,1,2,15,15,1,9,2,10,1,0,5,4,1
0.5789473684210527,0.024691358024691357,0.6818181818181819,0.010810810810810811,2,6,12,2,15,15,3,9,17,18,1,0,5,0,1
0.02631578947368421,0.0,0.39772727272727276,0.42162162162162165,1,27,13,2,13,8,1,9,2,23,0,0,5,0,0
0.36184210526315785,0.037037037037037035,0.6931818181818182,0.010810810810810811,1,22,19,2,13,8,7,9,28,1,0,3,4,1,1
0.9078947368421052,0.0,0.011363636363636364,0.7243243243243244,2,6,16,34,13,8,3,9,2,6,0,0,5,0,0
0.9407894736842105,0.0,0.7329545454545455,0.07027027027027027,1,18,8,37,13,8,4,9,2,3,1,0,5,0,1
0.125,0.2345679012345679,0.8295454545454546,0.23243243243243245,2,12,16,2,15,15,3,9,5,1,1,18,4,1,1
0.5460526315789473,0.0,0.07954545454545454,0.3891891891891892,2,5,3,2,13,8,0,9,5,18,1,0,5,0,1
0.1907894736842105,0.0,0.6306818181818182,0.010810810810810811,1,11,1,2,15,15,1,9,2,10,1,0,5,4,1
0.0,0.30864197530864196,1.0,0.016216216216216217,1,32,11,0,8,12,20,8,0,2,0,1,8,35,1
0.013157894736842105,0.037037037037037035,0.7840909090909091,0.010810810810810811,2,26,0,16,6,1,2,22,28,1,1,4,0,1,1
0.3421052631578947,0.0,0.8068181818181819,0.1783783783783784,2,28,12,2,15,15,0,9,23,7,1,0,5,4,1
0.013157894736842105,0.7654320987654321,0.011363636363636364,0.7567567567567568,1,11,19,39,6,3,9,11,35,1,0,3,4,1,1
0.006578947368421052,0.04938271604938271,0.2272727272727273,0.005405405405405406,2,7,9,1,4,17,21,12,1,1,9,2,1,10,1
0.11842105263157894,0.0,0.6590909090909091,0.32972972972972975,2,11,1,2,13,8,18,9,5,23,1,2,6,4,1
0.21052631578947367,0.0,0.33522727272727276,0.010810810810810811,2,19,13,2,13,8,13,9,25,10,1,2,21,0,1
0.9210526315789473,0.43209876543209874,0.9261363636363636,0.43783783783783786,0,6,1,27,13,8,15,9,5,0,1,4,0,1,1
0.0,0.037037037037037035,0.30113636363636365,1.0,2,14,7,0,9,10,24,19,1,1,6,2,1,14,1
0.019736842105263157,0.04938271604938271,0.8465909090909091,1.0,2,5,3,2,11,14,2,11,0,0,2,2,3,29,1
0.13157894736842105,0.0,0.02840909090909091,0.1945945945945946,2,6,10,2,13,8,3,9,17,10,1,2,6,0,1
0.20394736842105263,0.0,0.3465909090909091,0.010810810810810811,2,12,16,2,15,15,4,9,28,10,1,2,6,0,1
0.9671052631578947,0.0,0.4318181818181818,0.20540540540540542,2,11,12,32,13,8,13,9,2,10,1,2,16,0,1
0.625,0.037037037037037035,0.011363636363636364,0.010810810810810811,1,31,22,2,13,8,15,9,28,1,1,20,4,1,1
0.006578947368421052,0.04938271604938271,0.2272727272727273,0.005405405405405406,2,7,9,1,4,17,21,12,1,1,9,2,1,10,1
0.8552631578947368,0.0,0.011363636363636364,0.032432432432432434,2,48,1,2,13,8,18,4,15,18,1,2,25,4,1
0.6644736842105263,0.037037037037037035,0.9659090909090909,0.010810810810810811,2,41,23,2,13,8,8,3,28,1,1,18,0,1,1
0.6710526315789473,0.0,0.9375,0.14594594594594595,1,8,23,2,13,8,4,9,2,3,1,0,5,0,1
0.7105263157894737,0.0,0.21022727272727273,0.010810810810810811,1,36,1,2,13,8,1,9,17,11,1,2,16,4,1
0.34868421052631576,0.0,0.9829545454545455,0.010810810810810811,2,28,3,2,13,8,15,4,8,25,1,0,5,4,1
0.6184210526315789,0.0,0.9375,0.7729729729729731,1,6,19,2,13,8,4,4,2,13,1,2,6,4,1
0.763157894736842,0.037037037037037035,0.16477272727272727,0.010810810810810811,1,49,3,2,13,8,8,3,2,1,1,6,4,1,1
0.09868421052631579,0.0,0.3522727272727273,0.010810810810810811,2,27,12,2,13,8,10,0,23,18,0,0,5,0,1
0.013157894736842105,0.9876543209876543,0.011363636363636364,0.005405405405405406,1,46,23,38,6,1,17,23,1,1,8,0,1,5,1
0.1381578947368421,0.0,0.6875,0.8324324324324325,2,23,10,2,13,8,0,9,2,3,1,0,5,4,1
0.381578947368421,0.0,0.38636363636363635,0.010810810810810811,1,23,19,2,13,8,15,9,2,6,1,0,5,4,1
0.3026315789473684,0.0,0.46022727272727276,0.8648648648648649,2,20,10,2,13,8,10,0,23,10,1,2,14,0,1
0.013157894736842105,0.037037037037037035,0.011363636363636364,1.0,2,27,8,2,6,3,2,18,1,0,2,0,1,5,1
0.763157894736842,0.037037037037037035,0.16477272727272727,0.010810810810810811,1,49,3,2,13,8,8,3,2,1,1,6,4,1,1
0.13157894736842105,0.0,0.02840909090909091,0.1945945945945946,2,6,10,2,13,8,3,9,17,10,1,2,6,0,1
0.43421052631578944,0.0,0.9886363636363636,0.010810810810810811,2,23,8,2,13,8,13,4,25,10,1,2,10,4,1
1.0,0.037037037037037035,1.0,1.0,1,52,13,2,16,19,28,11,0,0,2,0,2,36,1
0.34868421052631576,0.0,0.17045454545454547,0.8864864864864865,2,14,6,2,15,15,3,0,5,18,1,2,24,4,1
0.013157894736842105,0.48148148148148145,0.011363636363636364,0.4918918918918919,0,31,8,28,6,16,17,11,9,0,0,3,4,1,0
0.9671052631578947,0.0,0.5284090909090909,0.7243243243243244,1,19,16,32,13,8,4,9,2,14,0,0,5,0,1
0.43421052631578944,0.0,0.9886363636363636,0.010810810810810811,2,23,8,2,13,8,13,4,25,10,1,2,10,4,1
0.013157894736842105,0.9876543209876543,0.011363636363636364,0.005405405405405406,1,46,23,38,6,1,17,23,1,1,8,0,1,5,1
0.046052631578947366,0.0,0.7272727272727273,0.010810810810810811,2,23,12,2,15,15,5,9,5,18,0,0,5,4,1
0.019736842105263157,0.04938271604938271,0.8465909090909091,1.0,2,5,3,2,11,14,2,11,0,0,2,2,3,29,1
0.381578947368421,0.0,0.011363636363636364,0.6108108108108108,2,54,6,2,13,8,28,29,2,19,1,0,5,0,0
0.013157894736842105,0.7901234567901234,0.26136363636363635,0.8,1,33,10,33,6,18,17,16,35,1,1,13,4,1,1
0.6184210526315789,0.0,0.9375,0.7729729729729731,1,6,19,2,13,8,4,4,2,13,1,2,6,4,1
0.7697368421052632,0.037037037037037035,0.03409090909090909,0.010810810810810811,2,46,1,2,13,8,8,3,16,1,1,9,4,1,1
0.4276315789473684,0.0,0.32386363636363635,0.5675675675675675,2,25,23,2,13,8,15,9,2,3,1,2,6,0,1
0.013157894736842105,0.037037037037037035,0.011363636363636364,1.0,2,27,8,2,6,3,2,18,1,0,2,0,1,5,1
0.1644736842105263,0.0,0.1590909090909091,0.42702702702702705,1,8,22,2,13,8,15,4,17,11,1,2,23,4,1
0.17763157894736842,0.3333333333333333,0.5340909090909091,0.5567567567567568,2,6,12,2,13,8,3,9,17,1,1,6,4,1,1
0.48684210526315785,0.0,0.011363636363636364,0.918918918918919,2,34,3,2,13,8,0,4,12,18,1,2,10,0,1
0.8486842105263157,0.037037037037037035,0.7897727272727273,0.010810810810810811,2,17,8,2,13,8,3,9,31,1,1,10,0,1,1
0.02631578947368421,0.0,0.23863636363636365,0.5783783783783785,2,19,3,2,13,8,16,4,29,18,1,0,5,4,1
0.17105263157894735,0.024691358024691357,0.9375,0.010810810810810811,1,7,6,2,13,8,10,0,2,18,1,2,17,0,1
0.5592105263157895,0.0,0.011363636363636364,0.010810810810810811,2,39,23,2,13,8,7,9,33,23,1,2,20,0,1
0.9210526315789473,0.0,0.39204545454545453,0.0918918918918919,2,22,19,27,15,15,3,9,5,18,0,0,5,4,1
0.28289473684210525,0.5802469135802468,0.011363636363636364,0.5837837837837838,2,27,3,2,13,8,4,4,31,1,1,21,0,1,1
0.13157894736842105,0.0,0.4318181818181818,0.33513513513513515,2,15,23,2,13,8,3,4,25,13,1,0,5,0,1
0.013157894736842105,0.037037037037037035,0.011363636363636364,0.010810810810810811,1,33,0,25,6,11,2,24,14,1,1,22,4,1,1
0.6973684210526315,0.0,0.32386363636363635,0.010810810810810811,2,42,19,2,13,8,13,9,5,10,1,2,17,4,1
0.013157894736842105,0.5555555555555556,0.8181818181818182,0.6864864864864866,1,9,0,22,6,18,9,11,28,1,1,13,4,1,1
0.631578947368421,0.0,0.011363636363636364,0.8216216216216217,1,8,13,2,13,8,15,9,2,16,1,2,20,4,1
0.013157894736842105,0.06172839506172839,0.011363636363636364,0.31891891891891894,1,6,22,33,6,1,17,11,3,1,0,3,0,1,1
0.013157894736842105,0.037037037037037035,0.8806818181818182,0.010810810810810811,1,10,1,39,6,16,9,13,20,1,1,4,0,1,1
0.9407894736842105,0.0,0.7329545454545455,0.07027027027027027,1,18,8,37,13,8,4,9,2,3,1,0,5,0,1
0.09210526315789473,0.0,0.32386363636363635,0.5945945945945946,2,9,23,2,13,8,5,4,5,27,1,2,21,0,1
0.2631578947368421,0.0,0.011363636363636364,0.8972972972972973,2,11,3,2,13,8,4,9,2,22,1,2,23,0,1
0.6447368421052632,0.037037037037037035,0.5340909090909091,0.010810810810810811,1,3,22,2,13,8,18,4,5,1,1,6,0,1,1
0.5197368421052632,0.0,0.011363636363636364,0.3945945945945946,2,20,3,2,13,8,3,9,25,18,1,2,10,4,1
0.013157894736842105,0.14814814814814814,0.011363636363636364,0.10810810810810811,1,9,12,49,6,16,17,28,28,1,1,18,4,1,1
0.7368421052631579,0.037037037037037035,0.7897727272727273,0.010810810810810811,1,12,23,2,13,8,15,4,28,1,1,13,0,1,1
0.17105263157894735,0.024691358024691357,0.9375,0.010810810810810811,1,7,6,2,13,8,10,0,2,18,1,2,17,0,1
0.625,0.037037037037037035,0.011363636363636364,0.010810810810810811,1,31,22,2,13,8,15,9,28,1,1,20,4,1,1
0.13157894736842105,0.0,0.02840909090909091,0.1945945945945946,2,6,10,2,13,8,3,9,17,10,1,2,6,0,1
0.7434210526315789,0.0,0.011363636363636364,0.010810810810810811,1,35,22,2,13,8,12,4,33,18,1,0,5,4,1
0.39473684210526316,0.0,0.11363636363636365,0.5891891891891892,1,8,10,2,13,8,15,9,17,21,1,2,23,0,1
0.013157894736842105,0.6419753086419753,0.7954545454545455,0.664864864864865,1,33,10,47,6,6,2,25,28,1,1,19,0,1,1
